,result,director,first_hero,second_hero,first_heroien,second_heroien,multi_starer,music,back_ground,cinematographer,editor,audio,songs,genre,production_no1,production_no2,production_no3,combined_production,distributed_by,month,run_time,art_director,fight_master_one,fight_master_two,fight_master_three,poster,budget
134,disaster,new,new,no hero,new,no heroien,no,new,new,new,new,mango music,less than6,ah,no one,no one,new,no,very low,january,120 and above,new,new,no one,no one,new,very low
135,disaster,new,no hero,new,no heroien,new,no,new,new,new,new,lahari music,less than6,l,new,no one,no one,no,very low,january,120 and above,new,new,no one,no one,new,very low
136,disaster,new,new,no hero,new,no heroien,no,new,new,new,new,mango music,less than6,ag,no one,new,no one,no,very low,february,150 and above,new,new,no one,no one,new,very low
137,disaster,new,no hero,new,no heroien,new,no,new,new,new,new,aditya music,less than6,af,no one,no one,new,no,very low,february,120 and above,new,new,no one,no one,new,very low
138,disaster,new,new,no hero,new,no heroien,no,level-7,level-7,new,new,madhura audio,less than6,o,new,no one,no one,no,very low,february,120 and above,new,new,no one,no one,new,very low
139,disaster,new,no hero,new,no heroien,new,no,new,new,new,new,aditya music,less than6,a,no one,new,no one,no,very low,march,120 and above,new,new,no one,no one,new,very low
140,disaster,new,new,no hero,new,no heroien,no,new,new,new,new,normal,less than6,q,no one,no one,new,no,very low,march,120 and above,new,new,no one,no one,new,very low
141,average,new,no hero,level-9,level-13,level-12,no,level-5,level-5,level-7,level-8,aditya music,more than 6,l,no one,no one,level-7,no,top,march,130 and above,level-2,no fights,no one,no one,level-1,medium
142,flop,new,no hero,level-7,level-2,level-4,no,level-1,level-1,level-3,level-3,aditya music,less than6,b,no one,no one,level-16,no,top,december,130 and above,level-5,level-2,level-1,level-2,level-3,high
143,flop,new,new,no hero,new,no heroien,no,new,new,level-15,level-9,aditya music,less than6,q,new,no one,no one,no,low,june,130 and above,new,no one,no one,level-5,level-3,low
144,flop,new,new,no hero,new,no heroien,no,level-10,level-10,level-15,level-9,mango music,more than 6,c,no one,level-9,new,yes,top,december,120 and above,new,new,seasonal,new,new,low
145,average,level-15,no hero,level-11,new,no heroien,no,more than one,level-10,level-2,level-3,aditya music,more than 6,d,no one,level-1,no one,no,top,july,120 and above,level-1,level-1,level-2,level-4,level-1,medium
146,flop,level-15,level-4,no hero,level-10,level-3,no,level-2,level-2,level-4,level-9,lahari music,exactly 6,d,no one,level-8,no one,no,top,april,130 and above,level-3,no one,level-5,level-4,level-1,high
147,flop,new,seasonal,no hero,new,no heroien,no,new,new,more than one,level-11,aditya music,less than6,q,new,no one,no one,no,low,june,120 and above,seasonal,no fights,no one,no one,level-3,low
148,flop,new,new,no hero,new,no heroien,no,new,new,seasonal,level-4,mango music,less than6,q,no one,new,no one,no,low,december,120 and above,level-3,level-4,no one,no one,level-2,low
149,industry hit,level-3,level-6,level-6,level-2,level-2,yes,level-3,level-3,dani(old),level-1,aditya music,less than6,m,no one,level-3,level-8,yes,top,may,150 and above,level-1,no fights,no one,no one,level-3,high
150,flop,new,no hero,level-11,level-13,no heroien,no,level-5,level-5,level-14,level-1,aditya music,more than 6,l,no one,level-3,no one,no,top,january,130 and above,new,no one,level-3,no one,level-1,low
151,flop,new,new,no hero,new,no heroien,no,level-5,level-5,level-6,level-3,mango music,less than6,l,new,no one,no one,no,low,february,120 and above,new,new,no one,no one,new,low
